epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
19,1473.46,0.89989,1.09931,0.0035,0.32444,0.29755,0.21039,0.14127,1.00357,0.98013,0.00629,0.000529433,0.000529433,0.000529433
20,1550.13,0.88724,1.08438,0.00343,0.34685,0.29654,0.21551,0.14897,0.99118,0.94538,0.00625,0.000494348,0.000494348,0.000494348
21,1626.51,0.88202,1.08458,0.00341,0.31703,0.29909,0.20704,0.14002,0.98077,0.95366,0.00615,0.000459045,0.000459045,0.000459045
22,1704.34,0.87714,1.072,0.00337,0.35306,0.28774,0.2063,0.14377,0.97933,0.95283,0.0061,0.000423742,0.000423742,0.000423742
23,1780.89,0.86401,1.06814,0.00335,0.31915,0.30407,0.22364,0.15755,0.9679,0.93077,0.00604,0.000388657,0.000388657,0.000388657
24,1857.65,0.85348,1.05252,0.00327,0.32011,0.30858,0.20904,0.14352,0.95751,0.93191,0.00595,0.000354005,0.000354005,0.000354005
25,1935.01,0.84287,1.03907,0.00323,0.32076,0.3063,0.21807,0.14925,0.95362,0.92648,0.00593,0.000320001,0.000320001,0.000320001
26,2011.08,0.8332,1.03972,0.0032,0.33368,0.30321,0.22798,0.15782,0.95712,0.91272,0.00593,0.000286855,0.000286855,0.000286855
27,2086.4,0.82177,1.03199,0.00316,0.3367,0.30679,0.2364,0.16278,0.94601,0.89646,0.00587,0.00025477,0.00025477,0.00025477
28,2163.18,0.82426,1.02498,0.00315,0.33219,0.30788,0.21298,0.14918,0.94984,0.91205,0.00586,0.000223944,0.000223944,0.000223944
29,2240.68,0.81358,1.02006,0.00308,0.33881,0.29745,0.20936,0.14706,0.94069,0.90638,0.0058,0.000194568,0.000194568,0.000194568
30,2317.57,0.80613,1.02353,0.0031,0.32483,0.30744,0.23019,0.16414,0.93223,0.90118,0.00575,0.000166823,0.000166823,0.000166823
31,2385.56,0.75178,0.95272,0.00317,0.34873,0.29486,0.23363,0.16349,0.93335,0.88869,0.00577,0.000140879,0.000140879,0.000140879
32,2450.28,0.74007,0.94102,0.00311,0.33643,0.30835,0.23102,0.15841,0.93185,0.89503,0.00574,0.000116897,0.000116897,0.000116897
33,2517.54,0.73424,0.93807,0.00309,0.33348,0.3053,0.23691,0.16564,0.92542,0.89009,0.00568,9.50238e-05,9.50238e-05,9.50238e-05
34,2584.41,0.72822,0.93133,0.00305,0.32597,0.31389,0.23757,0.16574,0.92221,0.88581,0.00568,7.53953e-05,7.53953e-05,7.53953e-05
35,2649.71,0.72765,0.93241,0.00306,0.32554,0.30448,0.23388,0.16302,0.92345,0.88495,0.0057,5.81322e-05,5.81322e-05,5.81322e-05
36,2716.45,0.72346,0.92468,0.00301,0.32602,0.30313,0.23505,0.16588,0.91763,0.88398,0.00564,4.33408e-05,4.33408e-05,4.33408e-05
37,2782.66,0.71742,0.92138,0.00299,0.33614,0.29567,0.2368,0.16661,0.91932,0.88083,0.00565,3.11124e-05,3.11124e-05,3.11124e-05
38,2849.13,0.71938,0.92,0.00298,0.33469,0.2986,0.2374,0.16628,0.91826,0.88019,0.00564,2.15223e-05,2.15223e-05,2.15223e-05
39,2913.89,0.71916,0.92191,0.003,0.32366,0.30095,0.23686,0.16568,0.917,0.87823,0.00563,1.46297e-05,1.46297e-05,1.46297e-05
40,2980.21,0.7153,0.92442,0.003,0.32662,0.30124,0.23958,0.16801,0.91859,0.88023,0.00564,1.04771e-05,1.04771e-05,1.04771e-05
